Title,Year,IMDb Rating,Runtime,Votes
94. The Hunt,2012,8.3 (384K),1h 55m, (384K
95. Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M),1h 48m, (1.1M
96. Ikiru,1952,8.3 (95K),2h 23m, (95K
97. 2001: A Space Odyssey,1968,8.3 (747K),2h 29m, (747K
98. Reservoir Dogs,1992,8.3 (1.1M),1h 39m, (1.1M
99. The Apartment,1960,8.3 (207K),2h 5m, (207K
100. Incendies,2010,8.3 (223K),2h 11m, (223K
101. Lawrence of Arabia,1962,8.3 (327K),3h 47m, (327K
102. Scarface,1983,8.3 (955K),2h 50m, (955K
103. Double Indemnity,1944,8.3 (174K),1h 47m, (174K
104. North by Northwest,1959,8.3 (358K),2h 16m, (358K
105. Heat,1995,8.3 (748K),2h 50m, (748K
106. Citizen Kane,1941,8.3 (478K),1h 59m, (478K
107. Up,2009,8.3 (1.2M),1h 36m, (1.2M
108. M,1931,8.3 (176K),1h 39m, (176K
109. Full Metal Jacket,1987,8.2 (816K),1h 56m, (816K
110. Vertigo,1958,8.3 (442K),2h 8m, (442K
111. Amélie,2001,8.3 (814K),2h 2m, (814K
112. A Clockwork Orange,1971,8.2 (906K),2h 16m, (906K
113. To Kill a Mockingbird,1962,8.3 (341K),2h 9m, (341K
114. Oppenheimer,2023,8.3 (860K),3h, (860K
115. A Separation,2011,8.3 (267K),2h 3m, (267K
116. Die Hard,1988,8.2 (984K),2h 12m, (984K
117. The Sting,1973,8.3 (288K),2h 9m, (288K
118. Like Stars on Earth,2007,8.3 (216K),2h 42m, (216K
119. Indiana Jones and the Last Crusade,1989,8.2 (833K),2h 7m, (833K
120. Metropolis,1927,8.3 (193K),2h 33m, (193K
121. Snatch,2000,8.2 (939K),1h 42m, (939K
122. 1917,2019,8.2 (719K),1h 59m, (719K
123. L.A. Confidential,1997,8.2 (637K),2h 18m, (637K
124. Bicycle Thieves,1948,8.2 (184K),1h 29m, (184K
125. Downfall,2004,8.2 (386K),2h 36m, (386K
126. Dangal,2016,8.3 (223K),2h 41m, (223K
127. Taxi Driver,1976,8.2 (969K),1h 54m, (969K
128. Hamilton,2020,8.3 (125K),2h 40m, (125K
129. The Wolf of Wall Street,2013,8.2 (1.7M),3h, (1.7M
130. Batman Begins,2005,8.2 (1.6M),2h 20m, (1.6M
131. Green Book,2018,8.2 (625K),2h 10m, (625K
132. For a Few Dollars More,1965,8.2 (286K),2h 12m, (286K
133. I'm Still Here,2024,8.6 (86K),2h 17m, (86K
134. Some Like It Hot,1959,8.2 (293K),2h 1m, (293K
135. Judgment at Nuremberg,1961,8.3 (90K),2h 59m, (90K
136. The Truman Show,1998,8.2 (1.3M),1h 43m, (1.3M
137. The Kid,1921,8.2 (140K),1h 8m, (140K
138. Shutter Island,2010,8.2 (1.5M),2h 18m, (1.5M
139. The Father,2020,8.2 (209K),1h 37m, (209K
140. All About Eve,1950,8.2 (143K),2h 18m, (143K
141. There Will Be Blood,2007,8.2 (665K),2h 38m, (665K
142. Jurassic Park,1993,8.2 (1.1M),2h 7m, (1.1M
143. Casino,1995,8.2 (587K),2h 58m, (587K
144. The Sixth Sense,1999,8.2 (1.1M),1h 47m, (1.1M
145. Ran,1985,8.2 (142K),2h 40m, (142K
146. Top Gun: Maverick,2022,8.2 (761K),2h 10m, (761K
147. No Country for Old Men,2007,8.2 (1.1M),2h 2m, (1.1M
148. The Thing,1982,8.2 (493K),1h 49m, (493K
149. Pan's Labyrinth,2006,8.2 (721K),1h 58m, (721K
150. Unforgiven,1992,8.2 (450K),2h 10m, (450K
151. A Beautiful Mind,2001,8.2 (1M),2h 15m, (1M
152. Kill Bill: Vol. 1,2003,8.2 (1.2M),1h 51m, (1.2M
153. The Treasure of the Sierra Madre,1948,8.2 (136K),2h 6m, (136K
154. Yojimbo,1961,8.2 (136K),1h 50m, (136K
155. Prisoners,2013,8.2 (860K),2h 33m, (860K
156. Finding Nemo,2003,8.2 (1.2M),1h 40m, (1.2M
157. The Great Escape,1963,8.2 (266K),2h 52m, (266K
158. Monty Python and the Holy Grail,1975,8.2 (584K),1h 31m, (584K
159. Howl's Moving Castle,2004,8.2 (477K),1h 59m, (477K
160. The Elephant Man,1980,8.2 (270K),2h 4m, (270K
161. Dial M for Murder,1954,8.2 (196K),1h 45m, (196K
162. Gone with the Wind,1939,8.2 (344K),3h 58m, (344K
163. Rashomon,1950,8.2 (188K),1h 28m, (188K
164. Chinatown,1974,8.1 (362K),2h 10m, (362K
165. Klaus,2019,8.2 (211K),1h 36m, (211K
166. The Secret in Their Eyes,2009,8.2 (231K),2h 9m, (231K
"167. Lock, Stock and Two Smoking Barrels",1998,8.1 (632K),1h 47m, (632K
168. V for Vendetta,2005,8.1 (1.2M),2h 12m, (1.2M
169. Inside Out,2015,8.1 (857K),1h 35m, (857K
170. The Wild Robot,2024,8.2 (146K),1h 42m, (146K
"171. Three Billboards Outside Ebbing, Missouri",2017,8.1 (577K),1h 55m, (577K
172. The Bridge on the River Kwai,1957,8.1 (240K),2h 41m, (240K
173. Trainspotting,1996,8.1 (745K),1h 33m, (745K
174. Raging Bull,1980,8.1 (393K),2h 9m, (393K
175. Catch Me If You Can,2002,8.1 (1.2M),2h 21m, (1.2M
176. Fargo,1996,8.1 (750K),1h 38m, (750K
177. Warrior,2011,8.1 (511K),2h 20m, (511K
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (988K),2h 10m, (988K
179. Gran Torino,2008,8.1 (834K),1h 56m, (834K
180. Million Dollar Baby,2004,8.1 (742K),2h 12m, (742K
181. Spider-Man: No Way Home,2021,8.2 (937K),2h 28m, (937K
182. My Neighbor Totoro,1988,8.1 (402K),1h 26m, (402K
183. Mad Max: Fury Road,2015,8.1 (1.2M),2h, (1.2M
184. Ben-Hur,1959,8.1 (261K),3h 32m, (261K
185. Children of Heaven,1997,8.2 (85K),1h 29m, (85K
186. Barry Lyndon,1975,8.1 (191K),3h 5m, (191K
187. 12 Years a Slave,2013,8.1 (760K),2h 14m, (760K
188. Before Sunrise,1995,8.1 (355K),1h 41m, (355K
189. Blade Runner,1982,8.1 (849K),1h 57m, (849K
190. Dead Poets Society,1989,8.1 (584K),2h 8m, (584K
191. The Grand Budapest Hotel,2014,8.1 (919K),1h 39m, (919K
192. Hacksaw Ridge,2016,8.1 (629K),2h 19m, (629K
193. Gone Girl,2014,8.1 (1.1M),2h 29m, (1.1M
194. Memories of Murder,2003,8.1 (236K),2h 12m, (236K
195. In the Name of the Father,1993,8.1 (194K),2h 13m, (194K
"196. Monsters, Inc.",2001,8.1 (1M),1h 32m, (1M
197. Ratatouille,2007,8.1 (874K),1h 51m, (874K
198. The Gold Rush,1925,8.1 (123K),1h 35m, (123K
199. Wild Tales,2014,8.1 (226K),2h 2m, (226K
200. How to Train Your Dragon,2010,8.1 (835K),1h 38m, (835K
201. Sherlock Jr.,1924,8.2 (61K),45m, (61K
202. Jaws,1975,8.1 (688K),2h 4m, (688K
203. The Deer Hunter,1978,8.1 (373K),3h 3m, (373K
204. Mary and Max,2009,8.1 (195K),1h 32m, (195K
205. The General,1926,8.1 (102K),1h 18m, (102K
206. Ford v Ferrari,2019,8.1 (514K),2h 32m, (514K
207. The Wages of Fear,1953,8.1 (70K),2h 36m, (70K
208. On the Waterfront,1954,8.1 (171K),1h 48m, (171K
209. Mr. Smith Goes to Washington,1939,8.1 (125K),2h 9m, (125K
210. Wild Strawberries,1957,8.1 (119K),1h 32m, (119K
211. Logan,2017,8.1 (881K),2h 17m, (881K
212. The Third Man,1949,8.1 (188K),1h 44m, (188K
